match_id,season_id,date,home_team,away_team,home_score,away_score,status,stadium,attendance
93525,578,2024-01-13 04:45:00,43,163,1,1,C,Turf Moor,20155.0
93526,578,2024-01-13 21:30:00,4,34,1,0,C,Stamford Bridge,39643.0
93529,578,2024-01-14 02:30:00,23,11,2,3,C,St. James' Park,52190.0
93527,578,2024-01-14 23:00:00,7,2,0,0,C,Goodison Park,39284.0
93528,578,2024-01-15 01:30:00,12,21,2,2,C,Old Trafford,73489.0
93521,578,2024-01-20 21:30:00,1,6,5,0,C,Emirates Stadium,60284.0
93523,578,2024-01-21 02:30:00,130,15,3,2,C,Gtech Community Stadium,17077.0
93530,578,2024-01-21 23:00:00,18,25,2,2,C,Bramall Lane,29164.0
93522,578,2024-01-22 01:30:00,127,10,0,4,C,Vitality Stadium,11228.0
93524,578,2024-01-23 04:45:00,131,38,0,0,C,American Express Stadium,31505.0
93535,578,2024-01-31 04:30:00,15,1,1,2,C,The City Ground,29387.0
93533,578,2024-01-31 04:45:00,34,7,0,0,C,Craven Cottage,24376.0
93534,578,2024-01-31 04:45:00,163,131,4,0,C,Kenilworth Road,10994.0
93532,578,2024-01-31 05:00:00,6,18,3,2,C,Selhurst Park,
93531,578,2024-01-31 05:15:00,2,23,1,3,C,Villa Park,42191.0
93540,578,2024-02-01 04:30:00,11,43,3,1,C,Etihad Stadium,53099.0
93536,578,2024-02-01 04:30:00,21,130,3,2,C,Tottenham Hotspur Stadium,61210.0
93539,578,2024-02-01 05:15:00,10,4,4,1,C,Anfield,57524.0
93537,578,2024-02-02 04:30:00,25,127,1,1,C,London Stadium,62451.0
93538,578,2024-02-02 05:15:00,38,12,3,4,C,Molineux Stadium,31641.0
93547,578,2024-02-03 21:30:00,7,21,2,2,C,Goodison Park,39321.0
93544,578,2024-02-04 00:00:00,131,6,4,1,C,American Express Stadium,31345.0
93545,578,2024-02-04 00:00:00,43,34,2,2,C,Turf Moor,20203.0
93549,578,2024-02-04 00:00:00,23,163,4,4,C,St. James' Park,52211.0
93550,578,2024-02-04 02:30:00,18,2,0,5,C,Bramall Lane,
93542,578,2024-02-04 23:00:00,127,15,1,1,C,Vitality Stadium,11200.0
93546,578,2024-02-04 23:00:00,4,38,2,4,C,Stamford Bridge,39628.0
93548,578,2024-02-04 23:00:00,12,25,3,0,C,Old Trafford,73612.0
93541,578,2024-02-05 01:30:00,1,10,3,1,C,Emirates Stadium,60374.0
93543,578,2024-02-06 05:00:00,130,11,1,3,C,Gtech Community Stadium,17096.0
93556,578,2024-02-10 21:30:00,11,7,2,0,C,Etihad Stadium,
93553,578,2024-02-11 00:00:00,34,127,3,1,C,Craven Cottage,24271.0
93554,578,2024-02-11 00:00:00,10,43,3,1,C,Anfield,59896.0
93555,578,2024-02-11 00:00:00,163,18,1,3,C,Kenilworth Road,11138.0
93558,578,2024-02-11 00:00:00,21,131,2,1,C,Tottenham Hotspur Stadium,61445.0
93560,578,2024-02-11 00:00:00,38,130,0,2,C,Molineux Stadium,30731.0
93557,578,2024-02-11 02:30:00,15,23,2,3,C,The City Ground,29451.0
93559,578,2024-02-11 23:00:00,25,1,0,6,C,London Stadium,62474.0
93551,578,2024-02-12 01:30:00,2,12,1,2,C,Villa Park,
93552,578,2024-02-13 05:00:00,6,4,1,3,C,Selhurst Park,25110.0
93561,578,2024-02-17 21:30:00,130,10,1,4,C,Gtech Community Stadium,17193.0
93562,578,2024-02-18 00:00:00,43,1,0,5,C,Turf Moor,21311.0
93564,578,2024-02-18 00:00:00,34,2,1,2,C,Craven Cottage,24401.0
93567,578,2024-02-18 00:00:00,23,127,2,2,C,St. James' Park,52224.0
93568,578,2024-02-18 00:00:00,15,25,2,0,C,The City Ground,29490.0
93570,578,2024-02-18 00:00:00,21,38,1,2,C,Tottenham Hotspur Stadium,61532.0
93566,578,2024-02-18 02:30:00,11,4,1,1,C,Etihad Stadium,53509.0
93569,578,2024-02-18 23:00:00,18,131,0,5,C,Bramall Lane,29522.0
93565,578,2024-02-19 01:30:00,163,12,1,2,C,Kenilworth Road,11483.0
93563,578,2024-02-20 05:00:00,7,6,1,1,C,Goodison Park,38164.0
93496,578,2024-02-21 04:30:00,11,130,1,0,C,Etihad Stadium,52137.0
93577,578,2024-02-22 04:30:00,10,163,4,1,C,Anfield,59896.0
93572,578,2024-02-25 00:00:00,2,15,4,2,C,Villa Park,42422.0
93574,578,2024-02-25 00:00:00,131,7,1,1,C,American Express Stadium,31646.0
93576,578,2024-02-25 00:00:00,6,43,3,0,C,Selhurst Park,24042.0
93578,578,2024-02-25 00:00:00,12,34,1,2,C,Old Trafford,73487.0
93573,578,2024-02-25 02:30:00,127,11,0,1,C,Vitality Stadium,11184.0
93571,578,2024-02-25 05:00:00,1,23,4,1,C,Emirates Stadium,60298.0
93580,578,2024-02-25 22:30:00,38,18,1,0,C,Molineux Stadium,30789.0
93579,578,2024-02-27 05:00:00,25,130,4,2,C,London Stadium,62450.0
93581,578,2024-03-03 00:00:00,130,4,2,2,C,Gtech Community Stadium,17140.0
93583,578,2024-03-03 00:00:00,7,25,1,3,C,Goodison Park,39262.0
93584,578,2024-03-03 00:00:00,34,131,3,0,C,Craven Cottage,24460.0
93587,578,2024-03-03 00:00:00,23,38,3,0,C,St. James' Park,52206.0
93588,578,2024-03-03 00:00:00,15,10,0,1,C,The City Ground,29603.0
93590,578,2024-03-03 00:00:00,21,6,3,1,C,Tottenham Hotspur Stadium,61339.0
93585,578,2024-03-03 02:30:00,163,2,2,3,C,Kenilworth Road,11594.0
93582,578,2024-03-03 22:00:00,43,127,0,2,C,Turf Moor,19713.0
93586,578,2024-03-04 00:30:00,11,12,3,1,C,Etihad Stadium,55097.0
93589,578,2024-03-05 05:00:00,18,1,0,6,C,Bramall Lane,29980.0
93598,578,2024-03-09 21:30:00,12,7,2,0,C,Old Trafford,73601.0
93593,578,2024-03-10 00:00:00,127,18,2,2,C,Vitality Stadium,11074.0
93596,578,2024-03-10 00:00:00,6,163,1,1,C,Selhurst Park,25103.0
93600,578,2024-03-10 00:00:00,38,34,2,1,C,Molineux Stadium,30860.0
93591,578,2024-03-10 02:30:00,1,130,2,1,C,Emirates Stadium,60331.0
93592,578,2024-03-10 22:00:00,2,21,0,4,C,Villa Park,42310.0
93594,578,2024-03-10 23:00:00,131,15,1,0,C,American Express Stadium,31505.0
93599,578,2024-03-10 23:00:00,25,43,2,2,C,London Stadium,62441.0
93597,578,2024-03-11 00:45:00,10,11,1,1,C,Anfield,59947.0
93595,578,2024-03-12 05:00:00,4,23,3,2,C,Stamford Bridge,38752.0
93482,578,2024-03-14 04:30:00,127,163,4,3,C,Vitality Stadium,11198.0
93603,578,2024-03-17 00:00:00,43,130,2,1,C,Turf Moor,20431.0
93607,578,2024-03-17 00:00:00,163,15,1,1,C,Kenilworth Road,11630.0
93606,578,2024-03-17 02:30:00,34,21,3,0,C,Craven Cottage,24410.0
93609,578,2024-03-17 23:00:00,25,2,1,1,C,London Stadium,62461.0
93617,578,2024-03-30 21:30:00,23,25,4,3,C,St. James' Park,52199.0
93612,578,2024-03-31 00:00:00,127,7,2,1,C,Vitality Stadium,11207.0
93614,578,2024-03-31 00:00:00,4,43,2,2,C,Stamford Bridge,39535.0
93618,578,2024-03-31 00:00:00,15,6,1,1,C,The City Ground,29520.0
93619,578,2024-03-31 00:00:00,18,34,3,3,C,Bramall Lane,30010.0
93620,578,2024-03-31 00:00:00,21,163,2,1,C,Tottenham Hotspur Stadium,61534.0
93611,578,2024-03-31 02:30:00,2,38,2,0,C,Villa Park,42640.0
93613,578,2024-03-31 05:00:00,130,12,1,1,C,Gtech Community Stadium,17138.0
93615,578,2024-03-31 22:00:00,10,131,2,1,C,Anfield,60061.0
