player_id,name,position,nationality
4342,Sylvain Marveaux,M,France
3725,Ryan Mason,M,England
4287,Juan Mata,M,Spain
4710,Nicky Maynard,F,England
4629,Emmanuel Mayuka,F,Zambia
4706,Kevin Mbabu,D,Switzerland
4569,Stéphane Mbia,M,Cameroon
3880,Conor McAleny,F,England
4585,Jobi McAnuff,M,Jamaica
4224,James McArthur,M,Scotland
4437,Gareth McAuley,D,Northern Ireland
4216,Paul McCallum,F,England
4573,Alex McCarthy,G,England
1756,George McCartney,D,Northern Ireland
4395,James McClean,M,Ireland
4586,Garath McCleary,F,Jamaica
4104,Josh McEachran,M,England
2460,James McFadden,M,Scotland
3430,Ryan McGivern,D,Northern Ireland
7896,Ryan McLaughlin,D,Northern Ireland
3779,Callum McManaman,M,England
4250,Jernade Meade,D,Montserrat
4323,Courtney Meppen-Walter,D,England
4246,Per Mertesacker,D,Germany
3714,David Meyler,M,Ireland
4659,Michu,F,Spain
4179,Simon Mignolet,G,Belgium
3022,Mike Pollitt,G,England
4578,Joseph Mills,D,England
2100,James Milner,M,England
4033,Ignasi Miquel,D,Spain
4507,Kevin Mirallas,F,Belgium
4647,Adam Mitchell,M,England
4036,Ryo Miyaichi,F,Japan
4386,Mo Shariff,F,England
3723,Luka Modric,M,Croatia
4685,George Moncur,M,England
1620,Garry Monk,D,England
4576,Stuart Moore,G,England
4530,Adam Morgan,F,England
4365,Steve Morison,F,Wales
4223,Callum Morris,M,England
4577,Sean Morrison,D,England
3983,Victor Moses,M,Nigeria
4110,Ján Mucha,G,Slovakia
3751,Youssouf Mulumbu,M,DR Congo
4561,Josh Murphy,M,England
3978,Jordan Mustoe,D,England
2011,Boaz Myhill,G,Wales
4645,Alfred N'Diaye,M,Senegal
2755,Charles N'Zogbia,M,France
4676,Adil Nabi,F,England
4472,Nacho Monreal,D,Spain
4510,Steven Naismith,F,Scotland
3447,Nani,F,Portugal
1367,Carlo Nash,G,England
3546,Samir Nasri,M,France
4532,Matija Nastasic,D,Serbia
3956,Kyle Naughton,D,England
2634,Ryan Nelsen,D,New Zealand
4678,Vít Nemrava,G,Czech Republic
4639,Jamie Ness,M,Scotland
4553,Conor Newton,M,England
3973,Lee Nicholls,G,England
4194,Jake Nicholson,M,England
3341,Gunnar Nielsen,G,Faroe Islands
4703,Archange Nkumu,M,England
3954,Ryan Noble,F,England
2040,Kevin Nolan,M,England
4689,Rinor Nushi,F,Sweden
3821,Steven Nzonzi,M,France
2647,Joseph O'Brien,D,Ireland
4439,Liam O'Neil,M,England
1717,John O'Shea,D,Ireland
4407,Curtis Obeng,D,England
3919,Gabriel Obertan,M,France
3731,Jonathan Obika,F,England
4589,Jordan Obita,D,England
4204,Peter Odemwingie,F,Nigeria
3734,Jonas Olsson,D,Sweden
2728,Nedum Onuoha,D,England
4412,Andrea Orlandi,M,Spain
4702,Filip Orsula,F,Slovakia
4501,Oscar,M,Brazil
1887,Leon Osman,M,England
4504,Bryan Oviedo,D,Costa Rica
1208,Michael Owen,F,England
4252,Alex Oxlade-Chamberlain,M,England
4654,Pablo Hernández,M,Spain
4319,Costel Pantilimon,G,Romania
4256,Park Chu-Young,F,South Korea
2940,Park Ji-Sung,M,South Korea
1518,Scott Parker,M,England
4370,Taylor Parmenter,D,England
3727,Dean Parrett,M,England
4583,Matt Partridge,D,England
