player_id,name,nationality,position,shirt_number,image_path
4105,Nathaniel Chalobah,England,M,4.0,premier_league_data/season_1718/Nathaniel_Chalobah_4105.png
4620,Calum Chambers,England,D,12.0,premier_league_data/season_1718/Calum_Chambers_4620.png
14632,Harry Charsley,Ireland,M,7.0,premier_league_data/season_1718/Harry_Charsley_14632.png
4161,Chicharito,Mexico,F,14.0,premier_league_data/season_1718/Chicharito_4161.png
13491,Ben Chilwell,England,D,25.0,premier_league_data/season_1718/Ben_Chilwell_13491.png
13510,Pedro Chirivella,Spain,M,5.0,premier_league_data/season_1718/Pedro_Chirivella_13510.png
13248,Hamza Choudhury,Bangladesh,M,24.0,premier_league_data/season_1718/Hamza_Choudhury_13248.png
11191,Eric Choupo-Moting,Cameroon,F,13.0,premier_league_data/season_1718/Eric_Choupo-Moting_11191.png
19608,Chris Löwe,Germany,D,15.0,premier_league_data/season_1718/Chris_Löwe_19608.png
4495,Andreas Christensen,Denmark,D,15.0,premier_league_data/season_1718/Andreas_Christensen_4495.png
3562,Ciaran Clark,Ireland,D,26.0,premier_league_data/season_1718/Ciaran_Clark_3562.png
11146,Jake Clarke-Salter,England,D,6.0,premier_league_data/season_1718/Jake_Clarke-Salter_11146.png
12365,Jordy Clasie,Netherlands,M,8.0,premier_league_data/season_1718/Jordy_Clasie_12365.png
3448,Tom Cleverley,England,M,8.0,premier_league_data/season_1718/Tom_Cleverley_3448.png
9100,Sam Clucas,England,M,4.0,premier_league_data/season_1718/Sam_Clucas_9100.png
4604,Nathaniel Clyne,England,D,17.0,premier_league_data/season_1718/Nathaniel_Clyne_4604.png
10268,Luke Coddington,England,G,12.0,
3713,Jack Colback,England,M,4.0,premier_league_data/season_1718/Jack_Colback_3713.png
3600,Séamus Coleman,Ireland,D,,premier_league_data/season_1718/Séamus_Coleman_3600.png
23739,Michael Collins,England,D,,
21653,Aaron Connolly,Ireland,F,9.0,premier_league_data/season_1718/Aaron_Connolly_21653.png
8045,Steve Cook,England,D,5.0,premier_league_data/season_1718/Steve_Cook_8045.png
15094,Brandon Cooper,Wales,D,6.0,
3549,Francis Coquelin,France,M,13.0,premier_league_data/season_1718/Francis_Coquelin_3549.png
2889,Jack Cork,England,D,4.0,premier_league_data/season_1718/Jack_Cork_2889.png
4911,Thibaut Courtois,Belgium,G,1.0,premier_league_data/season_1718/Thibaut_Courtois_4911.png
2559,Martin Cranie,England,D,2.0,premier_league_data/season_1718/Martin_Cranie_2559.png
8897,Aaron Cresswell,England,D,3.0,premier_league_data/season_1718/Aaron_Cresswell_8897.png
1629,Peter Crouch,England,F,15.0,premier_league_data/season_1718/Peter_Crouch_1629.png
5174,Cristián Cuevas,Chile,D,15.0,
10539,Josh Cullen,Ireland,M,24.0,premier_league_data/season_1718/Josh_Cullen_10539.png
33158,Pontus Dahlberg,Sweden,G,1.0,premier_league_data/season_1718/Pontus_Dahlberg_33158.png
3242,Charlie Daniels,England,D,23.0,premier_league_data/season_1718/Charlie_Daniels_3242.png
5328,Danilo,Brazil,D,6.0,premier_league_data/season_1718/Danilo_5328.png
3807,Scott Dann,England,D,6.0,premier_league_data/season_1718/Scott_Dann_3807.png
8389,Tendayi Darikwa,Zimbabwe,D,2.0,premier_league_data/season_1718/Tendayi_Darikwa_8389.png
9251,Karl Darlow,Wales,G,26.0,premier_league_data/season_1718/Karl_Darlow_9251.png
12854,Matteo Darmian,Italy,D,36.0,premier_league_data/season_1718/Matteo_Darmian_12854.png
2985,Daryl Murphy,Ireland,F,9.0,premier_league_data/season_1718/Daryl_Murphy_2985.png
14457,Josh Dasilva,England,M,10.0,premier_league_data/season_1718/Josh_Dasilva_14457.png
4100,David Luiz,Brazil,D,23.0,premier_league_data/season_1718/David_Luiz_4100.png
10526,Jason Davidson,Australia,D,3.0,
13389,Tom Davies,England,M,22.0,premier_league_data/season_1718/Tom_Davies_13389.png
2423,Steven Davis,Northern Ireland,M,10.0,premier_league_data/season_1718/Steven_Davis_2423.png
4198,Craig Dawson,England,D,15.0,premier_league_data/season_1718/Craig_Dawson_4198.png
4288,Kevin De Bruyne,Belgium,M,17.0,premier_league_data/season_1718/Kevin_De_Bruyne_4288.png
4330,David de Gea,Spain,G,43.0,premier_league_data/season_1718/David_de_Gea_4330.png
4885,Siem de Jong,Netherlands,M,23.0,premier_league_data/season_1718/Siem_de_Jong_4885.png
14834,Zachary Dearnley,England,F,,premier_league_data/season_1718/Zachary_Dearnley_14834.png
4546,Mathieu Debuchy,France,D,26.0,premier_league_data/season_1718/Mathieu_Debuchy_4546.png
9947,Troy Deeney,England,F,14.0,premier_league_data/season_1718/Troy_Deeney_9947.png
1526,Jermain Defoe,England,F,10.0,premier_league_data/season_1718/Jermain_Defoe_1526.png
5345,Steven Defour,Belgium,M,88.0,premier_league_data/season_1718/Steven_Defour_5345.png
1911,Damien Delaney,Ireland,D,,premier_league_data/season_1718/Damien_Delaney_1911.png
14778,Tom Dele-Bashiru,Nigeria,M,19.0,premier_league_data/season_1718/Tom_Dele-Bashiru_14778.png
3799,Fabian Delph,England,M,8.0,premier_league_data/season_1718/Fabian_Delph_3799.png
4123,Mousa Dembélé,Belgium,M,8.0,premier_league_data/season_1718/Mousa_Dembélé_4123.png
11002,Jason Denayer,Belgium,D,5.0,premier_league_data/season_1718/Jason_Denayer_11002.png
14643,Alex Denny,England,M,20.0,premier_league_data/season_1718/Alex_Denny_14643.png
16747,Laurent Depoitre,Belgium,F,29.0,premier_league_data/season_1718/Laurent_Depoitre_16747.png
4777,Gerard Deulofeu,Spain,F,10.0,premier_league_data/season_1718/Gerard_Deulofeu_4777.png
32936,Fousseni Diabaté,Mali,M,18.0,premier_league_data/season_1718/Fousseni_Diabaté_32936.png
3982,Mohamed Diamé,Senegal,M,21.0,premier_league_data/season_1718/Mohamed_Diamé_3982.png
15199,Grady Diangana,DR Congo,M,,premier_league_data/season_1718/Grady_Diangana_15199.png
14800,Brahim Díaz,Morocco,F,21.0,premier_league_data/season_1718/Brahim_Díaz_14800.png
3642,Diego Cavalieri,Brazil,G,16.0,
4941,Diego Costa,Spain,F,29.0,premier_league_data/season_1718/Diego_Costa_4941.png
4112,Eric Dier,England,D,15.0,premier_league_data/season_1718/Eric_Dier_4112.png
3925,Mame Diouf,Senegal,F,92.0,premier_league_data/season_1718/Mame_Diouf_3925.png
5577,Brice Dja Djédjé,Cote D’Ivoire,D,26.0,premier_league_data/season_1718/Brice_Dja_Djédjé_5577.png
19678,Domingos Quina,Portugal,M,8.0,premier_league_data/season_1718/Domingos_Quina_19678.png
13823,Abdoulaye Doucouré,Mali,M,16.0,premier_league_data/season_1718/Abdoulaye_Doucouré_13823.png
14442,Vlad Dragomir,Romania,M,30.0,
6362,Aleksandar Dragovic,Austria,D,15.0,premier_league_data/season_1718/Aleksandar_Dragovic_6362.png
3670,Danny Drinkwater,England,M,15.0,premier_league_data/season_1718/Danny_Drinkwater_3670.png
6451,Martin Dúbravka,Slovakia,G,31.0,premier_league_data/season_1718/Martin_Dúbravka_6451.png
3601,Shane Duffy,Ireland,D,4.0,premier_league_data/season_1718/Shane_Duffy_3601.png
14771,Demeaco Duhaney,England,D,21.0,premier_league_data/season_1718/Demeaco_Duhaney_14771.png
23738,Stephen Duke-McKenna,Guyana,M,9.0,
4340,Paul Dummett,Wales,D,14.0,premier_league_data/season_1718/Paul_Dummett_4340.png
8163,Lewis Dunk,England,D,30.0,premier_league_data/season_1718/Lewis_Dunk_8163.png
2341,Nathan Dyer,England,M,24.0,premier_league_data/season_1718/Nathan_Dyer_2341.png
12707,Ederson,Brazil,G,31.0,premier_league_data/season_1718/Ederson_12707.png
12265,Eduardo,Portugal,G,82.0,premier_league_data/season_1718/Eduardo_12265.png
15038,Tom Edwards,England,D,2.0,
14753,Ovie Ejaria,England,M,14.0,premier_league_data/season_1718/Ovie_Ejaria_14753.png
8962,Callum Elder,Australia,D,20.0,premier_league_data/season_1718/Callum_Elder_8962.png
21468,Andrew Eleftheriou,England,D,15.0,premier_league_data/season_1718/Andrew_Eleftheriou_21468.png
2214,Robert Elliot,Ireland,G,37.0,premier_league_data/season_1718/Robert_Elliot_2214.png
16803,Emerson,Italy,D,33.0,premier_league_data/season_1718/Emerson_16803.png
4845,Christian Eriksen,Denmark,M,14.0,premier_league_data/season_1718/Christian_Eriksen_4845.png
3156,Jonny Evans,Northern Ireland,D,35.0,premier_league_data/season_1718/Jonny_Evans_3156.png
2934,Patrice Evra,France,D,27.0,premier_league_data/season_1718/Patrice_Evra_2934.png
3309,Lukasz Fabianski,Poland,G,1.0,premier_league_data/season_1718/Lukasz_Fabianski_3309.png
2417,Cesc Fàbregas,Spain,M,4.0,premier_league_data/season_1718/Cesc_Fàbregas_2417.png
3182,Adam Federici,Australia,G,,premier_league_data/season_1718/Adam_Federici_3182.png
5672,Federico Fernández,Argentina,D,2.0,premier_league_data/season_1718/Federico_Fernández_5672.png
7564,Sofiane Féghouli,Algeria,M,8.0,premier_league_data/season_1718/Sofiane_Féghouli_7564.png
3604,Marouane Fellaini,Belgium,M,27.0,premier_league_data/season_1718/Marouane_Fellaini_3604.png
22546,Kiko Femenía,Spain,D,17.0,premier_league_data/season_1718/Kiko_Femenía_22546.png
4810,Leroy Fer,Netherlands,M,8.0,premier_league_data/season_1718/Leroy_Fer_4810.png
23976,Nathan Ferguson,England,D,36.0,premier_league_data/season_1718/Nathan_Ferguson_23976.png
15759,Edimilson Fernandes,Switzerland,D,6.0,premier_league_data/season_1718/Edimilson_Fernandes_15759.png
4804,Fernandinho,Brazil,M,25.0,premier_league_data/season_1718/Fernandinho_4804.png
5344,Fernando,Brazil,M,20.0,premier_league_data/season_1718/Fernando_5344.png
13867,Sam Field,England,M,8.0,premier_league_data/season_1718/Sam_Field_13867.png
5144,Stuart Findlay,Scotland,D,4.0,
4129,Jon Flanagan,England,D,20.0,premier_league_data/season_1718/Jon_Flanagan_4129.png
1943,Darren Fletcher,Scotland,M,,premier_league_data/season_1718/Darren_Fletcher_1943.png
14805,Phil Foden,England,M,47.0,premier_league_data/season_1718/Phil_Foden_14805.png
14298,Michael Folivi,England,F,27.0,premier_league_data/season_1718/Michael_Folivi_14298.png
3170,Fraser Forster,England,G,20.0,premier_league_data/season_1718/Fraser_Forster_3170.png
2932,Ben Foster,England,G,12.0,premier_league_data/season_1718/Ben_Foster_2932.png
13561,Timothy Fosu-Mensah,Netherlands,D,24.0,premier_league_data/season_1718/Timothy_Fosu-Mensah_13561.png
25292,Dimitri Foulquier,Guadeloupe,D,20.0,premier_league_data/season_1718/Dimitri_Foulquier_25292.png
25309,Juan Foyth,Argentina,D,8.0,premier_league_data/season_1718/Juan_Foyth_25309.png
8044,Simon Francis,England,D,2.0,premier_league_data/season_1718/Simon_Francis_8044.png
8052,Ryan Fraser,Scotland,M,24.0,premier_league_data/season_1718/Ryan_Fraser_8052.png
5371,Christian Fuchs,Austria,D,22.0,premier_league_data/season_1718/Christian_Fuchs_5371.png
7482,Jay Fulton,Scotland,M,28.0,premier_league_data/season_1718/Jay_Fulton_7482.png
13387,Ramiro Funes Mori,Argentina,D,3.0,premier_league_data/season_1718/Ramiro_Funes_Mori_13387.png
12639,Manolo Gabbiadini,Italy,F,23.0,premier_league_data/season_1718/Manolo_Gabbiadini_12639.png
19680,Gabriel Jesus,Brazil,F,9.0,premier_league_data/season_1718/Gabriel_Jesus_19680.png
10423,Gabriel Paulista,Brazil,D,3.0,premier_league_data/season_1718/Gabriel_Paulista_10423.png
9650,Sam Gallagher,England,F,20.0,premier_league_data/season_1718/Sam_Gallagher_9650.png
3868,Luke Garbutt,England,D,29.0,premier_league_data/season_1718/Luke_Garbutt_3868.png
12946,Aleix García,Spain,M,24.0,premier_league_data/season_1718/Aleix_García_12946.png
5937,Florin Gardos,Romania,D,25.0,premier_league_data/season_1718/Florin_Gardos_5937.png
4771,Dwight Gayle,England,F,25.0,premier_league_data/season_1718/Dwight_Gayle_4771.png
4600,Paulo Gazzaniga,Argentina,G,13.0,premier_league_data/season_1718/Paulo_Gazzaniga_4600.png
15146,Anthony Georgiou,Cyprus,D,3.0,premier_league_data/season_1718/Anthony_Georgiou_15146.png
