height,market_value,full_name,preferred_foot,primary_position,shirt,assists,goals,matches,minutes_played,rating,red_cards,started,yellow_cards
169,€5M,Enso Gonzalez,Left,LM,30,0,0,1,1,,0,0,0
187,€12M,Marshall Munetsi,Right,DM,5,1,2,14,"1,079",6.87,0,12,0
184,€57M,Matheus Cunha,Right,LM,10,6,15,33,"2,600",7.46,0,29,4
176,€8M,Pablo Sarabia,Left,RW,21,2,3,23,805,6.56,0,7,3
170,€18M,Jean-Ricner Bellegarde,Right,DM,27,7,2,35,"1,681",6.75,0,20,3
177,€24M,Hee-Chan Hwang,Right,RW,11,0,2,21,650,6.26,0,5,0
169,€8.5M,Carlos Forbs,Left,RW,26,0,0,10,232,6.16,0,1,2
,€20K,Mateus Mane,Right,N/A,59,0,0,1,1,,0,0,0
193,€27M,Jørgen Strand Larsen,Right,ST,9,4,14,35,"2,599",6.81,0,30,4
200,€5.5M,Sasa Kalajdzic,Right,ST,18,0,2,11,159,6.18,0,1,1
179,€18M,Goncalo Guedes,Right,AM,29,4,2,29,987,6.41,0,10,1
,€1.3M,Leon Chiwome,,ST,44,0,0,3,175,5.99,0,2,0
176,€47M,Pedro Porro,Right,RB,23,6,2,33,"2,608",7.20,0,28,5
192,€2.3M,Ashley Phillips,Right,CB,,,,,,,,,
190,€27M,Kevin Danso,Right,CB,4,0,0,10,843,6.47,0,9,0
191,€30M,Radu Dragusin,Right,CB,6,0,0,16,"1,251",6.33,0,14,1
187,€20M,Archie Gray,Right,RB,14,0,0,28,"1,743",6.17,0,19,1
185,€60M,Cristian Romero,Right,CB,17,0,1,18,"1,420",7.03,0,18,3
181,€7.5M,Ben Davies,Left,CB,33,0,0,17,"1,330",6.54,0,14,5
193,€50M,Micky van de Ven,Left,CB,37,2,0,13,"1,018",6.74,0,12,4
178,€13M,Sergio Reguilon,Left,LB,3,0,0,4,195,6.62,0,1,2
188,€45M,Destiny Udogie,Left,LB,13,1,0,25,"1,931",6.89,0,24,2
184,€8.5M,Djed Spence,Right,RB,24,2,1,25,"1,790",6.74,1,19,2
182,€38M,Yves Bissouma,Right,DM,8,0,2,28,"1,405",6.59,0,16,7
175,€75M,James Maddison,Right,CM,10,7,9,31,"1,816",7.29,0,21,6
186,€27M,Lucas Bergvall,Right,DM,15,1,0,27,"1,206",6.70,0,11,3
184,€40M,Pape Sarr,Right,DM,29,2,3,36,"1,913",6.68,0,22,6
187,€36M,Rodrigo Bentancur,Right,DM,30,0,2,26,"1,653",6.97,0,21,9
176,,Min-Hyeok Yang,Right,RM,,,,,,,,,
186,€50M,Dejan Kulusevski,Left,CM,21,4,7,32,"2,391",6.92,0,27,3
186,€40M,Brennan Johnson,Right,RW,22,3,11,33,"2,179",7.03,0,24,5
182,€11M,Wilson Odobert,Right,RW,28,0,1,16,849,6.36,0,9,0
180,€40K,Mikey Moore,Right,RW,47,1,0,10,361,6.14,0,3,0
167,€11M,Manor Solomon,Both,AM,,2,0,5,198,7.60,0,2,1
184,€48M,Heung-Min Son,Both,LW,7,9,7,30,"2,116",7.23,0,24,1
183,€32M,Mathys Tel,Right,LW,11,1,2,13,913,6.76,0,11,2
181,€7.2M,Timo Werner,Right,LW,16,3,0,18,508,6.44,0,4,0
179,€3.2M,Will Lankshear,Right,ST,,0,0,3,10,,0,0,0
184,€28M,Richarlison,Right,LW,9,1,4,15,500,6.48,0,4,2
187,€42M,Dominic Solanke,Right,ST,19,3,9,27,"2,206",6.65,0,25,0
179,€1.9M,Dane Scarlett,Right,ST,44,1,0,3,31,6.68,0,0,0
183,€18M,James Justin,Right,RB,2,2,2,36,"2,920",6.59,0,34,6
175,€8.5M,Ricardo Pereira,Right,RB,21,0,0,10,385,6.52,0,4,1
188,€2.5M,Woyo Coulibaly,Left,RB,25,0,0,4,107,6.30,0,1,1
